prefix,n_cases,accuracy,fscore,precision,recall,cohen_kappa,AUC
2,44,0.5681818181818182,0.4796248196248197,0.6454545454545454,0.5681818181818182,0.10300429184549353,0.5952380952380952
3,86,0.5697674418604651,0.5179523319058204,0.5804127088110056,0.5697674418604651,0.09858356940509927,0.5866847826086956
4,128,0.5703125,0.5283636480908152,0.5724512160633484,0.5703125,0.09882232462877627,0.5852370424957013
5,167,0.562874251497006,0.5260109660948795,0.5561741382100663,0.562874251497006,0.07971616214992083,0.5729467900520533
6,206,0.558252427184466,0.5244372522221401,0.5475950903281308,0.558252427184466,0.06819763395963829,0.5652773812922256
7,242,0.5495867768595041,0.5170430835802129,0.5358426158821415,0.5495867768595041,0.05012603528988124,0.5561840380768436
8,278,0.5467625899280576,0.5164039185010141,0.5322912878351366,0.5467625899280576,0.04509023499263953,0.5517647058823529
9,310,0.5419354838709678,0.5154747874799747,0.5281654174776044,0.5419354838709678,0.04012211077191452,0.547563025210084
10,342,0.5380116959064327,0.5145077748133775,0.5249425858844142,0.5380116959064327,0.0359322033898305,0.5460238054165948
11,373,0.5361930294906166,0.5157815786152756,0.5246505130504195,0.5361930294906166,0.03698121091826223,0.5431179368299043
12,404,0.5346534653465347,0.5166681239552527,0.524316766369806,0.5346534653465347,0.037632092445705756,0.5412193014932741
13,433,0.5404157043879908,0.5239581505579967,0.532408053232022,0.5404157043879908,0.053681840645763534,0.5461051502145923
14,462,0.5454545454545454,0.5302616221394852,0.5393134454358944,0.5454545454545454,0.06742026645135246,0.5519348460596931
15,490,0.5510204081632653,0.5363575482006274,0.5461862486430276,0.5510204081632653,0.08047153556135589,0.5565175927320182
16,518,0.555984555984556,0.541784919249269,0.5522901331284565,0.555984555984556,0.09204529866329314,0.5614440703329593
17,543,0.5598526703499079,0.5460575779047016,0.5567533464623503,0.5598526703499079,0.10047618057432772,0.5677083333333334
18,568,0.5669014084507042,0.5541446191586196,0.5646438387225398,0.5669014084507042,0.11572392319667879,0.5753543120932721
19,590,0.5711864406779661,0.5590341307907467,0.5691384253951085,0.5711864406779661,0.12444423589033715,0.5782459256525299
20,612,0.5735294117647058,0.56212279713527,0.5714500229284885,0.5735294117647058,0.12939304089997383,0.5805038863575449
21,633,0.5750394944707741,0.5641545662929645,0.57266592379971,0.5750394944707741,0.1320501776402645,0.5824795492822199
22,654,0.5779816513761468,0.5678288114422363,0.575457230503102,0.5779816513761468,0.13787075512251035,0.5855559208981165
23,675,0.5792592592592593,0.569936026936027,0.5764697487727487,0.5792592592592593,0.14052061943490457,0.5882589057289553
24,696,0.5804597701149425,0.5718852252705764,0.5774626392474483,0.5804597701149425,0.14305231111748284,0.5906797035167954
25,715,0.5818181818181818,0.5737053830514154,0.5786616161616162,0.5818181818181818,0.14565624837651314,0.5935572444612286
26,734,0.5831062670299727,0.5754211628802233,0.5798177455152463,0.5831062670299727,0.14814955284337006,0.5960382360628804
27,751,0.5845539280958721,0.577069523141047,0.5811468494338794,0.5845539280958721,0.15071730447200726,0.5988403625205166
28,768,0.5846354166666666,0.5774740710926716,0.5810570507660031,0.5846354166666666,0.1507016473459427,0.6019693504897778
29,784,0.5841836734693877,0.5772470250801541,0.5803167687058138,0.5841836734693877,0.1491820851004334,0.6037588071440275
30,800,0.58375,0.5770301950109576,0.5796347738700223,0.58375,0.14773817902616937,0.6055077940481813
31,813,0.5842558425584256,0.5776618230847966,0.5798411607738267,0.5842558425584256,0.14771944842473528,0.607885324348739
32,826,0.585956416464891,0.5796464356893625,0.5813704306401414,0.585956416464891,0.1503948895933208,0.6106534334700447
33,837,0.5866188769414575,0.5804544215976021,0.5816572131166557,0.5866188769414575,0.15012413501663935,0.6106464646464647
34,848,0.5872641509433962,0.5812515527562,0.5819846700577964,0.5872641509433962,0.149857641255965,0.6101781299453164
35,857,0.5869311551925321,0.5808437757086767,0.5813519828813891,0.5869311551925321,0.1477858804229356,0.609805036376282
36,866,0.5866050808314087,0.5804465314378656,0.580738125254549,0.5866050808314087,0.14572598466854403,0.6093595259355467
