prefix,n_cases,accuracy,fscore,precision,recall,cohen_kappa,AUC
2,44,0.5227272727272727,0.518981018981019,0.5201048951048951,0.5227272727272727,0.03749999999999998,0.5496894409937889
3,86,0.5232558139534884,0.5196515623751299,0.5195752719692528,0.5232558139534884,0.03397260273972602,0.5641304347826086
4,128,0.5234375,0.5199139872631251,0.5195075278340081,0.5234375,0.032705649157581784,0.5682878899533285
5,167,0.5269461077844312,0.5219744613958062,0.5215514672013438,0.5269461077844312,0.034682080924855585,0.5638374783111625
6,206,0.529126213592233,0.5231276030789216,0.5227081777445856,0.529126213592233,0.03552466454290959,0.5622323722523551
7,242,0.5289256198347108,0.522655686183215,0.5222026618775566,0.5289256198347108,0.034101253413626464,0.5527350486307512
8,278,0.5287769784172662,0.5223016971223309,0.5218224624544395,0.5287769784172662,0.033030640964367364,0.5455947712418301
9,310,0.5290322580645161,0.5224820542360865,0.5222412072979141,0.5290322580645161,0.03455631399317405,0.5458403361344537
10,342,0.5321637426900585,0.5259533811053456,0.5258720371551581,0.5321637426900585,0.04231859708075192,0.5492323615663274
11,373,0.5308310991957105,0.5252230476399331,0.5251595007160924,0.5308310991957105,0.041891118319658305,0.5494639235004346
12,404,0.5321782178217822,0.5268110184645597,0.526916269480546,0.5321782178217822,0.046074658937584334,0.5497840306059485
13,433,0.535796766743649,0.5302759996397828,0.5309843769024836,0.535796766743649,0.0551291376708537,0.5549463519313305
14,462,0.538961038961039,0.5333207497782475,0.5346170485630843,0.538961038961039,0.06303201112105561,0.5616137840128048
15,490,0.5408163265306123,0.5349623806229241,0.5367193093948865,0.5408163265306123,0.06746400960871557,0.566874132075156
16,518,0.5444015444015444,0.5385987150693032,0.5407031161666407,0.5444015444015444,0.07557356966773032,0.572053872053872
17,543,0.5506445672191529,0.5449865201701258,0.547293897230256,0.5506445672191529,0.0885375820365708,0.5799904684095861
18,568,0.5563380281690141,0.5508101601059349,0.5532996621642167,0.5563380281690141,0.10035071840705967,0.587871887715107
19,590,0.5576271186440678,0.5522219611791688,0.5545762054729482,0.5576271186440678,0.10282105361283633,0.591775181370457
20,612,0.5588235294117647,0.5535313361986016,0.5557623893439232,0.5588235294117647,0.10511779041429725,0.5955668721522379
21,633,0.5592417061611374,0.5539691255895474,0.5560150585860962,0.5592417061611374,0.10539326184192532,0.5974566925976422
22,654,0.5596330275229358,0.5543801913781198,0.5562567635377235,0.5596330275229358,0.10564951899792019,0.599563154680821
23,675,0.5585185185185185,0.5531127927381385,0.5549077678234305,0.5585185185185185,0.10268992282642642,0.6021975404485065
24,696,0.5574712643678161,0.551919781687414,0.5536359331400014,0.5574712643678161,0.0998916685561686,0.6049145494235509
25,715,0.558041958041958,0.5523388049821993,0.5540305847998156,0.558041958041958,0.1003209441971219,0.6082460032729103
26,734,0.55858310626703,0.5530318119476401,0.5544997123181086,0.55858310626703,0.10109539540825974,0.6119300996975467
27,751,0.5605858854860186,0.5551673880135087,0.5564760145420058,0.5605858854860186,0.1047833028702706,0.615988724755584
28,768,0.5625,0.5572082499165832,0.5583693159422367,0.5625,0.10831599825842975,0.6202020546776341
29,784,0.5650510204081632,0.5596961243769231,0.5607782720526228,0.5650510204081632,0.1125687123244018,0.6236375553006719
30,800,0.5675,0.5620859412614349,0.5630936413313462,0.5675,0.11664273176958673,0.6274004093843489
31,813,0.5694956949569495,0.5640703858590059,0.5648824380060722,0.5694956949569495,0.11950911588875268,0.6318238970677994
32,826,0.572639225181598,0.5673526133990703,0.5679385740214524,0.572639225181598,0.12496323728009895,0.6361255614935284
33,837,0.5746714456391876,0.5694076023234135,0.569685342754438,0.5746714456391876,0.12734365390360047,0.6382886002886002
34,848,0.5766509433962265,0.5714179265484048,0.5714123472341337,0.5766509433962265,0.12963725355656186,0.6396881177245772
35,857,0.5775962660443408,0.5724353136965384,0.5722185381642718,0.5775962660443408,0.13046134873031,0.6394138947461389
36,866,0.5773672055427251,0.5723934913468314,0.5719139643753496,0.5773672055427251,0.1291317034570303,0.6388803203723246
