prefix,size,acc,fscore,AUC,w_fscore,recall,precision
0,17,0.7647058823529411,0.8666666666666667,0.5,0.6627450980392157,0.7647058823529411,0.5847750865051903
1,34,0.8529411764705882,0.9206349206349206,0.5,0.7852474323062557,0.8529411764705882,0.7275086505190311
2,82,0.6585365853658537,0.7941176470588235,0.5,0.5229555236728838,0.6585365853658537,0.43367043426531826
3,115,0.6173913043478261,0.7634408602150538,0.5,0.4713417484805984,0.6173913043478261,0.38117202268431005
4,150,0.5866666666666667,0.7394957983193278,0.5,0.43383753501400557,0.5866666666666667,0.34417777777777775
5,182,0.554945054945055,0.7137809187279152,0.5,0.3961091911621947,0.554945054945055,0.3079640140079701
6,206,0.5436893203883495,0.7044025157232704,0.5,0.3829761250534286,0.5436893203883495,0.2955980771043454
7,235,0.5191489361702127,0.6834733893557423,0.5,0.35482448298468316,0.5191489361702127,0.2695156179266636
8,259,0.5173745173745173,0.6819338422391857,0.5,0.35281519250984894,0.5173745173745173,0.2676763912285148
9,279,0.5232974910394266,0.6870588235294117,0.5,0.3595361585494413,0.5232974910394266,0.2738402641281587
10,303,0.5313531353135313,0.6939655172413793,0.5,0.3687407533856834,0.5313531353135313,0.28233615440751997
11,322,0.5341614906832298,0.6963562753036437,0.5,0.3719667060628159,0.5341614906832298,0.2853284981289302
12,339,0.5368731563421829,0.6986564299424184,0.5,0.3750898827419473,0.5368731563421829,0.288232786000818
13,353,0.5354107648725213,0.6974169741697417,0.5,0.37340455557530083,0.5354107648725213,0.2866646871413782
14,372,0.5349462365591398,0.6970227670753065,0.5,0.37286970604297304,0.5349462365591398,0.2861674760087871
15,382,0.5340314136125655,0.6962457337883959,0.5,0.371817093436735,0.5340314136125655,0.285189550725035
16,389,0.5398457583547558,0.7011686143572621,0.5,0.3785229023522495,0.5398457583547558,0.2914334428136214
17,396,0.5404040404040404,0.7016393442622951,0.5,0.37916873654578576,0.5404040404040404,0.29203652688501175
18,403,0.543424317617866,0.7041800643086816,0.5,0.3826685709270503,0.543424317617866,0.29530998897844335
19,409,0.5403422982885085,0.7015873015873015,0.5,0.3790972949897155,0.5403422982885085,0.29196979931970757
20,410,0.5390243902439025,0.7004754358161648,0.5,0.37757334467164005,0.5390243902439025,0.2905472932778108
21,413,0.5375302663438256,0.6992125984251969,0.5,0.3758479342624545,0.5375302663438256,0.28893878723566413
22,417,0.539568345323741,0.7009345794392523,0.5,0.37820211120822966,0.539568345323741,0.2911339992753998
23,419,0.5393794749403341,0.7007751937984497,0.5,0.3779837560822187,0.5393794749403341,0.29093021798691054
24,421,0.5391923990498813,0.7006172839506173,0.5,0.37776751414914517,0.5391923990498813,0.2907284431931664
26,423,0.5366430260047281,0.6984615384615385,0.5,0.3748245135479178,0.5366430260047281,0.28798573735951133
27,425,0.5388235294117647,0.7003058103975535,0.5,0.3773412484259759,0.5388235294117647,0.29033079584775084
28,426,0.5375586854460094,0.6992366412213741,0.5,0.3758807296706447,0.5375586854460094,0.2889693402984417
29,427,0.5386416861826698,0.700152207001522,0.5,0.3771311653638175,0.5386416861826698,0.29013486609370975
31,428,0.5397196261682243,0.701062215477997,0.5,0.3783770368584517,0.5397196261682243,0.2912972748711678
33,430,0.5395348837209303,0.7009063444108762,0.5,0.3781634230309843,0.5395348837209303,0.29109789075175774
34,431,0.5406032482598608,0.7018072289156626,0.5,0.37939926760405895,0.5406032482598608,0.2922518720291127
